,user,text,favorite_count,retweet_count,created_at
103,elonmusk,@BillyM2k @ZubyMusic Multiple internal &amp; external issues simultaneously today. Should be fully back on track later tonight.,8982,1090,2023-02-09 05:03:08+00:00
104,elonmusk,"@JonathanTurley Since he placed many of them there himself, he would indeed not be “surprised” lmao",60067,5796,2023-02-09 04:59:58+00:00
105,elonmusk,@BillyM2k My pet theory is that too much Adderall is making people grumpy 😂 https://t.co/HscbKgPRCP,9025,718,2023-02-09 04:49:54+00:00
106,elonmusk,Twitter has been informed by the Turkish government that access will be reenabled shortly,320043,26168,2023-02-08 23:55:36+00:00
107,elonmusk,@JonathanTurley Very concerning,18152,1190,2023-02-08 20:31:02+00:00
108,elonmusk,@WholeMarsBlog True,19896,620,2023-02-08 19:43:21+00:00
109,elonmusk,@FonsDK We are reaching out to understand more,33316,2419,2023-02-08 19:42:41+00:00
110,elonmusk,@Lukewearechange Not a completely unblemished record,33191,1432,2023-02-08 18:18:12+00:00
111,elonmusk,@charliebilello How times have changed,56244,2178,2023-02-08 18:14:16+00:00
112,elonmusk,@WholeMarsBlog 🤣🤣,4549,188,2023-02-08 18:04:53+00:00
113,elonmusk,@WholeMarsBlog FSD 11.3 is close to limited release. Just drove it through SF &amp; LA yesterday. Probably 11.3.2 is able to go wide.,13695,802,2023-02-08 18:01:31+00:00
114,elonmusk,@farzyness 🤣,13511,411,2023-02-08 08:33:51+00:00
115,elonmusk,@unusual_whales Cracks me up every time 🤣,25757,955,2023-02-08 07:06:29+00:00
116,elonmusk,@engineers_feed Voxel size of the simulation,4339,234,2023-02-08 05:21:10+00:00
117,elonmusk,"@engineers_feed Arguably, the practical limit of pi is the number of digits required to measure radius of the universe in units of Planck length https://t.co/4R8wIL0FzS",15016,1064,2023-02-08 05:20:25+00:00
118,elonmusk,@AutismCapital Plausible,7816,477,2023-02-08 05:08:44+00:00
119,elonmusk,🎯 https://t.co/jL5fjQxTcz,373765,36432,2023-02-08 04:50:51+00:00
120,elonmusk,"Master Plan 3, the path to a fully sustainable energy future for Earth will be presented on March 1. 

The future is bright! https://t.co/11ug0LRlbD",153071,19331,2023-02-08 02:49:44+00:00
121,elonmusk,.,374698,23792,2023-02-08 01:03:17+00:00
122,elonmusk,@iamirishdave @MKBHD 🤣,2382,85,2023-02-07 23:50:38+00:00
